time,knee_angle_r,Torque,path_actuator,,Moment arm,,,,Moment arm
0.78530414,-22.05764262,50.70555607,-754.3379131,,,,,,-0.067218623
0.78639033,-22.07615707,50.6835135,-753.7178455,,,,,,-0.067244678
0.78778276,-22.09767014,50.6552094,-752.9229622,,,,,,-0.067278077
0.78917519,-22.11672099,50.62685219,-752.1280788,,,,,,-0.067311477
0.79,-22.12684838,50.61002964,-751.6572267,,,,,,-0.067331262
0.79001818,-22.12706187,50.6087032,-751.6326585,,,,,,-0.067331698
0.79003636,-22.12727494,50.60737673,-751.6080902,,,,,,-0.067332134
0.79012725,-22.12833401,50.60074392,-751.4852489,,,,,,-0.067334314
0.79058173,-22.13347326,50.56757237,-750.8710422,,,,,,-0.067345216
0.79227146,-22.15035581,50.44412225,-748.5874165,,,,,,-0.067385747
0.79363619,-22.16152561,50.34428158,-746.7430254,,,,,,-0.067418482
0.79388431,-22.16332743,50.32611693,-746.4077024,,,,,,-0.067424434
0.79410942,-22.16490204,50.30963331,-746.1034754,,,,,,-0.067429834
0.79419176,-22.16546366,50.30360292,-745.9921927,,,,,,-0.067431809
0.79423667,-22.16576671,50.30031377,-745.9314987,,,,,,-0.067432886
0.79424616,-22.16583045,50.29961879,-745.9186745,,,,,,-0.067433114
0.79425565,-22.16589408,50.2989238,-745.9058502,,,,,,-0.067433341
0.7943031,-22.16621076,50.29544877,-745.8417287,,,,,,-0.06743448
0.79454032,-22.16775614,50.27807092,-745.5211215,,,,,,-0.06744017
0.795,-22.17056539,50.24438806,-744.8998849,,,,,,-0.067451196
0.79501588,-22.17065797,50.24257701,-744.8688286,,,,,,-0.067451577
0.79503176,-22.17075024,50.24076593,-744.8377723,,,,,,-0.067451958
0.79511117,-22.17120705,50.23171035,-744.6824908,,,,,,-0.067453863
0.7955082,-22.17337613,50.18642325,-743.9060834,,,,,,-0.067463386
0.79650125,-22.17795168,50.07308661,-741.964137,,,,,,-0.067487206
0.7974943,-22.18130805,49.95965746,-740.0221905,,,,,,-0.067511026
0.7987968,-22.18387693,49.81074245,-737.4751135,,,,,,-0.067542269
0.8,-22.1844222,49.67303874,-735.1222164,,,,,,-0.06757113
0.80006843,-22.18440083,49.66386543,-734.968605,,,,,,-0.067572771
0.80013686,-22.18437385,49.65469162,-734.8149936,,,,,,-0.067574413
0.800479,-22.18415499,49.60881483,-734.0469366,,,,,,-0.06758262
0.8019509,-22.18163633,49.41130771,-730.7427316,,,,,,-0.067617926
0.8034228,-22.17659832,49.21356728,-727.4385266,,,,,,-0.067653232
0.8048947,-22.16907677,49.01559353,-724.1343216,,,,,,-0.067688538
0.805,-22.1684442,49.00142141,-723.8979366,,,,,,-0.067691064
0.80506824,-22.16802756,48.99133429,-723.7314188,,,,,,-0.067692701
0.80513648,-22.16760565,48.98124662,-723.564901,,,,,,-0.067694338
0.80547767,-22.16541707,48.93079992,-722.7323118,,,,,,-0.067702522
0.80676178,-22.15600271,48.74081707,-719.5987845,,,,,,-0.067733323
0.80804589,-22.14472726,48.55064118,-716.4652572,,,,,,-0.067764125
0.80933,-22.13158281,48.36027226,-713.3317298,,,,,,-0.067794927
0.81,-22.1239812,48.26086844,-711.6967756,,,,,,-0.067810998
0.81002271,-22.12371458,48.25720384,-711.6370174,,,,,,-0.067811542
0.81004543,-22.12344737,48.25353934,-711.5772592,,,,,,-0.067812087
0.81015899,-22.12210258,48.23521518,-711.2784682,,,,,,-0.067814811
0.81072682,-22.11516003,48.14357047,-709.7845134,,,,,,-0.067828432
0.81187333,-22.10003643,47.95840355,-706.768023,,,,,,-0.067855933
0.81255106,-22.09040385,47.84886909,-704.9849057,,,,,,-0.067872189
0.81322879,-22.08025818,47.73927666,-703.2017883,,,,,,-0.067888446
0.81382697,-22.07087712,47.6425009,-701.6279857,,,,,,-0.067902794
0.81442514,-22.06109499,47.54567981,-700.0541831,,,,,,-0.067917143
0.815,-22.05131502,47.45259032,-698.5417269,,,,,,-0.067930932
0.81502849,-22.05082069,47.44714245,-698.4545032,,,,,,-0.067931615
0.81505698,-22.05032544,47.44169446,-698.3672796,,,,,,-0.067932298
0.81519942,-22.0478355,47.41445256,-697.9311614,,,,,,-0.067935715
0.81585038,-22.03616551,47.28991745,-695.9380744,,,,,,-0.06795133
0.81650134,-22.02401877,47.16532011,-693.9449875,,,,,,-0.067966944
0.8171523,-22.01139678,47.04066052,-691.9519005,,,,,,-0.067982558
0.81804232,-21.99337314,46.87012086,-689.2268814,,,,,,-0.068003907
0.81893234,-21.97446773,46.69946486,-686.5018624,,,,,,-0.068025256
0.82,-21.95063537,46.49459439,-683.2329605,,,,,,-0.068050866
0.82003398,-21.94985627,46.48753252,-683.1210051,,,,,,-0.068051681
0.82006797,-21.94907592,46.48047063,-683.0090497,,,,,,-0.068052496
0.82023789,-21.94515534,46.44515796,-682.4492727,,,,,,-0.068056572
0.82101594,-21.92680572,46.28341018,-679.8861633,,,,,,-0.068075235
0.82179398,-21.90780828,46.12156657,-677.3230539,,,,,,-0.068093897
0.82306804,-21.87531317,45.85633917,-673.1259297,,,,,,-0.068124458
0.8243421,-21.84110509,45.59085523,-668.9288056,,,,,,-0.068155019
0.825,-21.82277238,45.45366447,-666.7614984,,,,,,-0.0681708
0.82504348,-21.82154489,45.44406961,-666.6105525,,,,,,-0.068171843
0.82508695,-21.82031542,45.43447427,-666.4596066,,,,,,-0.068172885
0.82530433,-21.81413833,45.38649333,-665.7048771,,,,,,-0.068178099
0.82639124,-21.78251068,45.14647075,-661.9312297,,,,,,-0.068204171
0.82775253,-21.74115133,44.84557666,-657.2049236,,,,,,-0.068236824
0.82911382,-21.69784175,44.54437391,-652.4786175,,,,,,-0.068269477
